Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
dcms_0011_1718-q3,DCMS_0011_1718-Q3,DCMS,Official Category,2019,2017-02-28,2021-03-31,1492.0,Amber,232.75,67.4,2019,2021-03-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dcms_0012_1819-q2,DCMS_0012_1819-Q2,DCMS,Official Category,2019,2017-12-21,2023-03-31,1926.0,Amber/Red,777.92,63.36,2019,2023-03-31,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dcms_0014_1920-q2,DCMS_0014_1920-Q2,DCMS,Official Category,2019,2019-05-01,2021-05-01,731.0,Red,212.8,79.5,2019,2021-05-01,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
decc_0005_1112-q1,DECC_0005_1112-Q1,BEIS,Official Category,2019,2008-06-30,2040-12-31,11872.0,Amber,12743.0,46.52,2019,2040-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
decc_0010_1112-q1,DECC_0010_1112-Q1,BEIS,Official Category,2019,2009-12-02,2024-12-31,5508.0,Amber,20136.95,1065.9,2019,2024-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
decc_0013_1213-q1,DECC_0013_1213-Q1,BEIS,Official Category,2019,2012-04-03,2019-08-31,2706.0,Amber,2782.0,198.0,2019,2019-08-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dfe_0006_1415-q3,DFE_0006_1415-Q3,DFE,Official Category,2019,2014-05-01,2025-02-25,3953.0,Amber,2398.5,740.8,2019,2025-02-25,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
dfid_0001_1112-q1,DFID_0001_1112-Q1,DFID,Official Category,2019,2005-03-15,2026-08-31,7839.0,Amber/Green,445.72,3.9,2019,2026-08-31,Amber/Green,1,,0.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
dft_0001_1112-q1,DFT_0001_1112-Q1,DFT,Official Category,2019,2008-07-22,,,Red,17630.9,1137.7,2019,,Red,1,,1.0,RAG Proxy (no valid End_Date in any year)
dft_0004_1112-q1,DFT_0004_1112-Q1,DFT,Official Category,2019,2009-01-14,2033-12-31,9117.0,Red,55700.0,3732.5,2019,2033-12-31,Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
